Dataset_Name,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model
dataset_163,genotype,2025-01-20 12:55:41,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:40,,snps_annotated_500,True,
dataset_164,genotype,2025-01-20 12:55:51,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:50,,snps_annotated_500,True,
dataset_165,genotype,2025-01-20 12:55:57,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:55:56,,snps_annotated_500,True,
dataset_166,genotype,2025-01-20 12:56:03,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:56:02,,snps_annotated_500,True,
dataset_167,genotype,2025-01-20 12:56:14,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:56:13,,snps_annotated_500,True,
dataset_168,genotype,2025-01-20 12:56:24,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:56:23,,snps_annotated_500,True,
dataset_169,genotype,2025-01-20 12:56:31,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:56:30,,snps_annotated_500,True,
dataset_170,genotype,2025-01-20 12:56:36,2504,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:56:36,,snps_annotated_500,True,
dataset_171,prs,2025-01-20 12:56:38,125,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:37,,,,Plink
dataset_172,prs,2025-01-20 12:56:38,23,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:38,,,,PRSice-2
dataset_173,prs,2025-01-20 12:56:39,116,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:39,,,,AnnoPred
dataset_174,prs,2025-01-20 12:56:40,125,582,prs,migraine,migraine_5.gz,0,,2025-01-20 12:56:40,,,,LDAK-GWAS
